# TBJD-2450000      FLUX           FLUX_ERR
  1354.5840438     -4.9985519      0.6837880
  1354.5854328     -4.1512947      0.6839489
  1354.5868217     -3.0044066      0.6844332
  1354.5882106     -1.3048605      0.6849350
  1354.5895995      0.1456121      0.6853200
  1354.5909885      1.3783401      0.6857708
  1354.5923774      4.5380030      0.6863417
  1354.5937663      5.0682576      0.6867894
  1354.5951552      7.3928235      0.6876148
  1354.5965441      8.4305698      0.6877121
  1354.5979331      9.0103036      0.6877638
  1354.5993220      9.1916875      0.6877515
  1354.6007109     10.3462431      0.6882607
  1354.6020998      9.5403185      0.6879458
  1354.6034888      9.9615510      0.6881204
  1354.6048777      8.1973105      0.6875542
  1354.6062666      8.2346895      0.6875446
  1354.6076555      6.7395298      0.6873201
  1354.6090444      6.1444611      0.6869771
  1354.6104334      3.1922395      0.6860950
  1354.6118223      2.3310851      0.6858699
  1354.6132112     -0.3266571      0.6852782
  1354.6146001     -2.4930213      0.6844812
  1354.6159890     -4.9017499      0.6838505
  1354.6173780     -5.3042330      0.6836549
  1354.6187669     -7.4934798      0.6831177
  1354.6201558     -7.3615751      0.6828991
  1354.6215447     -8.7220146      0.6827086
  1354.6229337     -9.0566285      0.6827185
  1354.6243226     -7.9722783      0.6829759
  1354.6257115     -6.9415406      0.6832581
  1354.6271004     -6.4408179      0.6832571
  1354.6284893     -6.3178985      0.6833878
  1354.6298783     -3.8923973      0.6842581
  1354.6312672     -2.9748748      0.6844708
  1354.6326561     -1.6984781      0.6846563
  1354.6340450     -0.8648187      0.6849330
  1354.6354340      0.1958101      0.6853001
  1354.6368229      2.0328318      0.6858710
  1354.6382118      2.8263567      0.6862208
  1354.6396007      6.1051652      0.6867831
  1354.6409896      4.6419933      0.6866612
  1354.6423786      7.8157333      0.6874321
  1354.6437675      8.2654792      0.6876283
  1354.6451564      7.2179090      0.6874595
  1354.6465453      6.6729185      0.6872706
  1354.6479342      5.6449963      0.6866634
  1354.6493232      2.8685279      0.6857792
  1354.6507121      0.6363911      0.6855081
  1354.6521010     -1.9224525      0.6845768
  1354.6534899     -4.2008339      0.6840683
  1354.6548789     -6.5755979      0.6833657
  1354.6562678     -7.8763748      0.6828076
  1354.6576567    -11.4158778      0.6820104
  1354.6590456    -10.7795963      0.6820167
  1354.6604345    -12.2536105      0.6816416
